province,city_name,city_code,rain24h
湖北省,安陆,RMZis,3.7
陕西省,勉县,ahPQB,3.7
陕西省,华州,zVYfc,3.7
湖北省,利川,bLYlG,3.7
陕西省,富平,BpoKt,3.7
陕西省,留坝,tejPC,3.7
河南省,长葛,sHlBF,3.7
甘肃省,华池,IqwuL,3.7
陕西省,柞水,SifiE,3.6
四川省,广安区,FoeFd,3.6
四川省,岳池,yFOsJ,3.6
贵州省,习水,shhLy,3.6
湖北省,长阳,uAZAP,3.6
贵州省,大方,YDxxS,3.6
河南省,罗山,rhndw,3.6
重庆市,垫江,OqThL,3.6
湖南省,安乡,ejqKF,3.6
河南省,新安,vMxzb,3.6
河南省,孟津,lIgVp,3.5
河南省,洛阳,rYaxY,3.5
湖北省,大悟,bmINw,3.5
山西省,芮城,reeTF,3.5
河南省,唐河,jQYDK,3.4
四川省,天全,hcVXJ,3.4
湖北省,五峰,AAHzJ,3.4
陕西省,长安,NnPsM,3.4
江西省,宜春,OqvoJ,3.3
湖北省,阳新,vraeg,3.3
重庆市,奉节,JHIrC,3.3
河南省,正阳,uiooJ,3.3
河南省,偃师,CwmVv,3.3
湖南省,攸县,UUaLX,3.3
湖南省,长沙黄花,pwvLl,3.3
四川省,盐亭,WvCVx,3.3
重庆市,巫溪,QUGEw,3.3
湖南省,望城区,vcKIn,3.3
四川省,蓬溪,KxrUp,3.2
陕西省,鄠邑,WJups,3.2
河南省,荥阳,JAxZP,3.2
陕西省,三原,ycvtU,3.2
四川省,南充,vihpz,3.2
湖南省,南县,wIetl,3.2
陕西省,洋县,lDiMR,3.2
湖北省,荆门,vGwSN,3.2
重庆市,铜梁,uymdU,3.2
湖南省,汉寿,RvbiI,3.2
青海省,大通,cNxyI,3.2
云南省,绥江,JiGSi,3.2
贵州省,金沙,foFkP,3.1
四川省,武胜,eqeFJ,3.1
陕西省,西乡,tWrIf,3.1
河南省,舞钢,tIiAe,3.1
陕西省,子长,zgGer,3.1
山西省,大宁,ekOlr,3.1
江西省,庐山,PCWyN,3.1
湖北省,红安,OYqFU,3.1
河南省,舞阳,aRquF,3.0
江西省,柴桑,wJyOW,3.0
陕西省,延长,zGmNC,3.0
河南省,新县,BpKzd,3.0
安徽省,固镇,oCQkR,2.9
湖北省,潜江,MKtOV,2.9
重庆市,黔江,iBdYx,2.9
宁夏回族自治区,吴忠,VXPXK,2.8
河南省,渑池,XfOYq,2.8
湖北省,枝江,Bhwex,2.8
湖南省,安仁,zMNOt,2.8
湖南省,桃源,DYNDO,2.8
青海省,德令哈,CEXed,2.8
重庆市,巴南,AbIWr,2.8
四川省,遂宁,pcHfo,2.8
湖南省,沅江,xFxiZ,2.8
安徽省,金寨,NjfSe,2.8
湖北省,松滋,CHdCL,2.7
陕西省,黄陵,Iwyeu,2.7
安徽省,蒙城,WfvcH,2.7
湖南省,郴州,cYyyF,2.7
湖北省,京山,zeDBq,2.7
福建省,建宁,bFxyH,2.6
贵州省,播州,ImmpI,2.6
四川省,宣汉,HVNiO,2.6
山西省,永和,Xmsxf,2.6
湖北省,广水,Zafip,2.6
重庆市,北碚,FfkQD,2.6
湖南省,湘阴,EJmro,2.6
福建省,建阳,UXGUr,2.6
重庆市,合川,utLqu,2.5
陕西省,蓝田,lTwwB,2.5
安徽省,宿州,KZzYj,2.5
湖南省,株洲,siHjW,2.5
河南省,尉氏,VUIVN,2.4
贵州省,仁怀,avkLt,2.4
陕西省,合阳,GQDFM,2.4
陕西省,太白,IztCW,2.4
贵州省,开阳,nhvQy,2.4
湖北省,仙桃,vAcxm,2.4
贵州省,织金,AMmvw,2.4
河南省,巩义,yrsPS,2.3
湖北省,沙洋,NSAwY,2.3
陕西省,宁陕,XbvFE,2.3
安徽省,阜南,bHKhs,2.3
青海省,天峻,qLNow,2.3
陕西省,铜川,lZvra,2.3
湖南省,临澧,ZskSj,2.3
贵州省,万山,pQUcc,2.3
湖南省,浏阳,eprZJ,2.3
河南省,确山,UCliM,2.3
陕西省,潼关,ddBPj,2.3
四川省,开江,Qdtso,2.2
湖北省,孝昌,QtbbO,2.2
贵州省,凤冈,FfkVU,2.2
江西省,瑞昌,qjEqY,2.2
安徽省,舒城,VFMGg,2.2
安徽省,利辛,TnLlA,2.2
甘肃省,环县,tpwqY,2.2
陕西省,高陵,FJzCX,2.2
河南省,开封,swtij,2.2
贵州省,平塘,OpPQk,2.1
甘肃省,徽县,GGjbv,2.1
陕西省,华阴,XMEaY,2.1
山西省,隰县,WVCsi,2.1
湖北省,汉川,Kogbd,2.1
贵州省,罗甸,ddcVF,2.1
贵州省,都匀,EHGgf,2.1
重庆市,秀山,ukeEi,2.0
宁夏回族自治区,青铜峡,zlWii,2.0
四川省,三台,pqcSL,2.0
重庆市,酉阳,bghvn,2.0
湖南省,龙山,czHhG,2.0
陕西省,米脂,bLFjW,2.0
江西省,上栗,YXrtQ,2.0
四川省,内江,wNtyv,2.0
湖南省,岳阳,bwVav,2.0
陕西省,绥德,AsHiS,2.0
湖北省,赤壁,KTWwX,1.9
四川省,沐川,SHcpz,1.9
河南省,川汇区,lZXKF,1.9
安徽省,六安,RLVWB,1.9
陕西省,韩城,cozJM,1.9
湖南省,资兴,UbStp,1.9
甘肃省,永昌,kQQJv,1.9
四川省,名山,FdPbr,1.9
湖南省,常宁,zxmLy,1.9
重庆市,南川,OIUau,1.9
河南省,商城,iDXIG,1.9
江西省,武宁,gEVup,1.9
陕西省,宜川,wVXnP,1.9
重庆市,潼南,kUNHe,1.9
陕西省,子洲,kMChi,1.9
安徽省,安庆,bIpli,1.8
河南省,沁阳,OAiAk,1.8
山西省,石楼,CEGWS,1.8
陕西省,陕西横山,nkmKX,1.8
山西省,运城,AupnI,1.8
甘肃省,泾川,gtMsI,1.8
河南省,孟州,aeWfC,1.8
四川省,江安,EcUZo,1.8
湖南省,桂阳,OMZne,1.7
山西省,襄汾,ZlvFx,1.7
广西壮族自治区,凌云,QkgiV,1.7
江西省,永修,XSWiI,1.7
四川省,长宁,CXrGz,1.7
河南省,光山,sPsZI,1.7
贵州省,白云,SOHSv,1.7
陕西省,定边,sNYlv,1.7
江西省,九江,kVOgS,1.7
青海省,互助,AePoh,1.7
湖南省,醴陵,aSeFW,1.7
江西省,永新,CsrsV,1.7
河南省,新蔡,ORIbm,1.7
海南省,琼海,tOlIq,1.7
贵州省,遵义,mKDbo,1.6
四川省,屏山,AVDkL,1.6
河南省,温县,xfBpE,1.6
河南省,商水,PojMH,1.6
湖南省,保靖,aDWvQ,1.6
湖北省,荆州,xBZlA,1.6
湖南省,华容,UDpcM,1.6
湖南省,花垣,aEkzT,1.6
福建省,延平,cuHtX,1.5
广西壮族自治区,东兴,yYYyV,1.5
湖北省,监利,yShDj,1.5
安徽省,涡阳,VjERZ,1.5
海南省,五指山,jtadI,1.5
湖南省,安化,LTAMD,1.5
宁夏回族自治区,彭阳,Jiiql,1.5
湖北省,大冶,LvTkA,1.5
湖北省,洪湖,qYxqF,1.5
内蒙古自治区,鄂托克前旗,fyQnv,1.4
广西壮族自治区,田阳,DPxlj,1.4
安徽省,五河,wtsbO,1.4
重庆市,沙坪坝,rRKjq,1.4
重庆市,彭水,mFVrF,1.4
河南省,通许,iSvVf,1.4
安徽省,肥西,tdDBE,1.4
贵州省,麻江,ZERcU,1.4
陕西省,耀州,tfmFL,1.4
湖南省,永兴,rwydQ,1.4
湖北省,麻城,NcQaQ,1.4
宁夏回族自治区,中宁,sEpvS,1.3
四川省,筠连,mfPnS,1.3
陕西省,黄龙,uHJpt,1.3
湖南省,澧县,VdxXV,1.3
贵州省,长顺,fuXUe,1.3
湖南省,双峰县,gItui,1.3
四川省,峨眉山,JKQBL,1.3
重庆市,梁平,kWdog,1.3
贵州省,平坝,UYZaj,1.3
福建省,寿宁,qMckX,1.3
甘肃省,舟曲,vfKZw,1.3
河南省,太康,zEzeT,1.3
四川省,松潘,niBgS,1.3
四川省,青神,eUOGX,1.3
陕西省,佳县,kNHLa,1.3
湖南省,炎陵,HDZEq,1.3
陕西省,凤县,KZHTq,1.3
山西省,汾西,ZqAPc,1.3
甘肃省,西和,sqsLp,1.3
安徽省,临泉,wlkiF,1.3
湖北省,嘉鱼,xyZup,1.2
四川省,仁寿,PEnFX,1.2
青海省,湟中,eHjuj,1.2
河南省,淮滨,pQUOE,1.2
宁夏回族自治区,灵武,HYEJD,1.2
四川省,都江堰,GrSbA,1.2
河南省,潢川,wTUBX,1.2
贵州省,瓮安,DdMaA,1.2
山西省,沁水,hvopq,1.2
安徽省,怀远,HxrdW,1.2
贵州省,息烽,VBttY,1.2
安徽省,无为,jOsaC,1.2
安徽省,阜阳,JcXXt,1.2
湖南省,湘江新区,htNqQ,1.2
贵州省,修文,qYDqu,1.2
四川省,射洪,eURTs,1.2
江西省,共青城,elBmT,1.2
河南省,武陟,koXUe,1.2
山西省,介休,KqHyx,1.2
贵州省,江口,vHiWQ,1.1
安徽省,池州,XbuHL,1.1
江西省,井冈山,cIZPM,1.1
湖南省,平江,PdYcV,1.1
湖北省,通山,xNLyS,1.1
青海省,乌兰,SlLAA,1.1
贵州省,清镇,xCoEZ,1.1
湖南省,湘潭,tWpqg,1.1
贵州省,纳雍,hJPOj,1.1
贵州省,岑巩,PjZmd,1.1
江西省,莲花,aBbtI,1.1
河南省,灵宝,mAGsj,1.1
山西省,乡宁,fwMED,1.1
甘肃省,成县,fKNTS,1.1
陕西省,澄城,QobKK,1.0
青海省,西宁,SHRvr,1.0
重庆市,大足,RBIeV,1.0
山西省,万荣,lSPZr,1.0
广西壮族自治区,防城港,kXkLV,1.0
河南省,西平,cAtmW,1.0
江西省,分宜,YjVGY,1.0
宁夏回族自治区,中卫,mZrCd,1.0
山西省,吉县,AFVkU,1.0
四川省,邛崃,EVoup,1.0
陕西省,蒲城,tOfoG,1.0
江西省,万载,SbshZ,1.0
山西省,翼城,VXrqE,1.0
四川省,雅安,MfnxC,1.0
福建省,柘荣,GSJpN,1.0
江西省,萍乡,yBDJf,0.9
安徽省,庐江,MmSaS,0.9
甘肃省,两当,XmucV,0.9
江西省,宜丰,lpFTY,0.9
甘肃省,崇信,UGwYi,0.9
甘肃省,合水,HSTdx,0.9
山西省,永济,QGpNZ,0.9
河南省,博爱,DInuO,0.9
贵州省,丹寨,QfiGH,0.9
浙江省,泰顺,ojdNE,0.9
内蒙古自治区,乌审旗,KhrDm,0.9
四川省,马边,qoufd,0.9
江西省,南昌,JmxCz,0.9
福建省,武夷山,zbKCn,0.9
安徽省,灵璧,GPbvs,0.9
陕西省,陇县,fpJEY,0.9
山西省,蒲县,mxfxi,0.9
云南省,盐津,TJcpS,0.9
陕西省,大荔,FvzNQ,0.9
甘肃省,崆峒,RfbKS,0.9
安徽省,泗县,CtvRL,0.8
河南省,柘城,VvHGN,0.8
贵州省,黄平,HGQkl,0.8
河南省,三门峡,TjcXC,0.8
贵州省,独山,zqguN,0.8
江西省,拿山,pUPQO,0.8
湖南省,永州,vXgNI,0.8
内蒙古自治区,河南,jNnwV,0.8
安徽省,东至,ZwTQM,0.8
山西省,平陆,PFPpH,0.8
青海省,海晏,UULnO,0.8
河南省,平舆,XdjmX,0.8
重庆市,江津,nIjuT,0.8
湖北省,黄陂,Inpll,0.8
江西省,樟树,HWaon,0.8
安徽省,黄山,dFIpc,0.8
贵州省,乌当,vDKTW,0.8
安徽省,九华山,eppay,0.8
四川省,洪雅,xWemk,0.8
山西省,孝义,VtRVI,0.8
江西省,芦溪,eclSD,0.8
贵州省,龙里,oSrTE,0.7
海南省,乐东,joRTe,0.7
四川省,五通桥,TEvfR,0.7
山西省,灵石,sGCZR,0.7
陕西省,靖边,WyIjX,0.7
安徽省,桐城,tRaOy,0.7
宁夏回族自治区,固原,muLnq,0.7
贵州省,玉屏,ZgWUE,0.7
湖北省,武汉,bSpCz,0.7
四川省,广元,OwVIj,0.7
贵州省,道真,efBXm,0.7
河南省,驻马店,ZmGSj,0.7
重庆市,荣昌,klPmX,0.7
重庆市,石柱,bUuhS,0.7
甘肃省,景泰,RJphY,0.6
安徽省,合肥,xqcji,0.6
四川省,隆昌,mKxEY,0.6
湖北省,新洲,RZaJI,0.6
湖南省,新宁,eaueH,0.6
四川省,红原,sCzWb,0.6
贵州省,德江,WmIeA,0.6
贵州省,惠水,OOPMd,0.6
云南省,威信,msgsX,0.6
湖北省,崇阳,fYXOt,0.6
四川省,中江,QjPxI,0.6
四川省,青川,SzgvK,0.6
江西省,万安,gVGRT,0.6
四川省,剑阁,MfaOt,0.6
湖南省,耒阳,fzyGq,0.6
河南省,济源,TJdvk,0.6
贵州省,务川,hlBSz,0.6
河南省,郸城,uRklp,0.6
湖南省,湘乡,MFued,0.6
四川省,安岳,TuuMx,0.6
湖南省,衡山,inRnV,0.6
湖北省,蕲春,dfWmt,0.6
四川省,梓潼,ZNNOo,0.6
河南省,淮阳,QHPrZ,0.6
重庆市,璧山,ruRPA,0.6
青海省,湟源,ADbRC,0.6
甘肃省,康县,plSyY,0.6
四川省,芦山,LiKdk,0.5
贵州省,绥阳,obmwT,0.5
海南省,西沙,vepbp,0.5
贵州省,凯里,NSsev,0.5
贵州省,三穗,RMivb,0.5
江西省,上高,TnqCJ,0.5
山西省,沁源,UEqUT,0.5
湖北省,通城,xhjfq,0.5
湖南省,韶山,ctzSw,0.5
贵州省,沿河,ERvME,0.5
河南省,汝南,vvNHi,0.5
宁夏回族自治区,隆德,VhNkw,0.5
四川省,达川,OwVVP,0.5
四川省,大邑,HUYio,0.5
贵州省,贵阳,SKMHP,0.5
山西省,汾阳,SsPhi,0.5
甘肃省,华亭,CUyDL,0.5
湖北省,武穴,DOsub,0.5
安徽省,凤阳,bESbg,0.5
青海省,共和,IipKM,0.5
江苏省,泗洪,wKIff,0.4
湖南省,临湘,sabwQ,0.4
四川省,大英,wQKcH,0.4
河南省,永城,SMuXc,0.4
湖南省,嘉禾,CkYws,0.4
内蒙古自治区,孪井滩,LRYsR,0.4
安徽省,太和,ddRJw,0.4
河南省,焦作,ubXHV,0.4
青海省,化隆,Mxsvt,0.4
重庆市,武隆,LwFjp,0.4
海南省,陵水,IDWIl,0.4
浙江省,龙游,JrShZ,0.4
江西省,丰城,GEceX,0.4
甘肃省,天祝,OWolv,0.4
江西省,彭泽,IWKEq,0.4
安徽省,颍上,AUgGn,0.4
安徽省,霍邱,eqtJL,0.4
湖北省,蔡甸,lfZTF,0.4
陕西省,神木,wgIob,0.4
宁夏回族自治区,泾源,xyYEK,0.4
青海省,平安,YUDym,0.4
四川省,九寨沟,YZuzT,0.4
江西省,吉安县,ryNCI,0.3
安徽省,宿松,iScpT,0.3
江西省,鄱阳,eoKxa,0.3
安徽省,蚌埠,xEdTH,0.3
四川省,广汉,YXpHm,0.3
宁夏回族自治区,海原,ydxHC,0.3
河南省,修武,zOAjR,0.3
贵州省,黔西,xfRzH,0.3
宁夏回族自治区,银川,LqTRN,0.3
安徽省,亳州,bjqNC,0.3
贵州省,桐梓,WQYWd,0.3
贵州省,天柱,bFWLw,0.3
海南省,澄迈,tjGqH,0.3
青海省,乐都,TEvmY,0.3
安徽省,含山,nsdcQ,0.3
四川省,眉山,zkdYW,0.3
四川省,简阳,IhZxf,0.3
安徽省,芜湖,YCdBx,0.3
宁夏回族自治区,西吉,zKyVn,0.3
河南省,固始,liQnS,0.3
广东省,海丰,cPbEV,0.3
河南省,杞县,tCUkl,0.3
湖南省,邵阳县,aFKpi,0.3
新疆维吾尔自治区,阿克苏,wPpQt,0.3
浙江省,浦江,jNOUm,0.3
海南省,海口,vmEKa,0.3
四川省,泸州,nLWnl,0.3
山西省,河津,oblOm,0.2
安徽省,淮北,npJUD,0.2
云南省,禄丰,TjOgz,0.2
贵州省,印江,XCIcC,0.2
安徽省,枞阳,KbOON,0.2
安徽省,濉溪,sCZni,0.2
青海省,贵南,ZDODs,0.2
甘肃省,礼县,pEuMT,0.2
山西省,新绛,wHrOw,0.2
江苏省,溧水,gRnAT,0.2
江苏省,江宁,Dfezs,0.2
湖北省,黄石,MTZwr,0.2
山西省,陵川,EeGzR,0.2
河南省,遂平,hsyZH,0.2
山西省,曲沃,OYMED,0.2
广西壮族自治区,宁明,VelAS,0.2
贵州省,松桃,uhZzm,0.2
山西省,绛县,JpoNT,0.2
贵州省,正安,awLJW,0.2
四川省,纳溪,PVPXd,0.2
河南省,原阳,ccwBF,0.2
安徽省,肥东,JeocZ,0.2
甘肃省,静宁,UFAUV,0.2
湖南省,蓝山,RJaJW,0.2
江苏省,溧阳,SOYVx,0.2
贵州省,黎平,DrHHS,0.2
安徽省,望江,kABhv,0.2
湖南省,衡南,GYnJo,0.2
安徽省,和县,vulFs,0.2
贵州省,余庆,gtqrp,0.2
安徽省,长丰,lUGWB,0.2
河南省,获嘉,ipyYK,0.2
四川省,绵竹,YxJmk,0.2
四川省,黑水,laiax,0.2
四川省,乐至,YStkV,0.2
四川省,郫都,NUxad,0.2
山西省,霍州,DiJSX,0.2
江苏省,浦口,ssDyH,0.2
江西省,遂川,MaPOv,0.2
安徽省,巢湖,ynBxA,0.2
安徽省,马鞍山,cdzPY,0.2
四川省,泸县,YIwsD,0.2
四川省,叙州,harPc,0.2
四川省,美姑,CqHKW,0.2
贵州省,花溪,wWoHD,0.2
贵州省,雷山,XFsWa,0.2
贵州省,镇远,FqHqg,0.2
甘肃省,庄浪,xClnb,0.2
四川省,荥经,PQOEg,0.2
江苏省,南京,CxOWZ,0.2
四川省,若尔盖,PwnmG,0.2
河南省,上蔡,aBcFs,0.2
山西省,临猗,hGfmL,0.2
福建省,泰宁,AAJZf,0.2
四川省,乐山,YuAXe,0.2
甘肃省,会宁,QucKY,0.1
云南省,宁蒗,PtTbw,0.1
福建省,宁德,uKfig,0.1
湖南省,邵阳,KZYji,0.1
山西省,侯马,ZGhqJ,0.1
贵州省,铜仁,EaOOy,0.1
河北省,蠡县,yYUQU,0.1
宁夏回族自治区,贺兰,RqsAG,0.1
贵州省,毕节,QJFow,0.1
四川省,江油,YaiqO,0.1
四川省,平武,jWFfG,0.1
山西省,安泽,KSSLi,0.1
江西省,黎川,clOYT,0.1
四川省,德阳,QFQLG,0.1
山西省,洪洞,mwSUY,0.1
云南省,易门,Oqduj,0.1
山西省,柳林,aKlRm,0.1
云南省,西畴,KjiDB,0.1
山西省,平遥,ShbMD,0.1
四川省,雷波,UtzFE,0.1
重庆市,永川,XGxHU,0.1
山西省,阳城,twIgf,0.1
山西省,太谷,kfLqv,0.1
四川省,宜宾,wfNOD,0.1
安徽省,泾县,FqHCb,0.1
四川省,峨眉,EuzbB,0.1
四川省,新都,XxQIS,0.1
河南省,新乡,VLpOH,0.1
安徽省,南陵,sWTiK,0.1
重庆市,云阳,pzmmf,0.1
海南省,白沙,AXpuY,0.1
陕西省,吴堡,GVBLs,0.1
河南省,项城,VjWQe,0.1
重庆市,涪陵,CCvTr,0.1
吉林省,安图,sKOvI,0.1
贵州省,锦屏,zFHzB,0.1
江苏省,高淳,nihEu,0.1
广东省,惠来,oANdW,0.1
黑龙江省,虎林,rhGIi,0.1
江苏省,句容,HzWJm,0.1
云南省,嵩明,UYJan,0.1
甘肃省,通渭,YKHoa,0.1
安徽省,铜陵,VAMvd,0.1
安徽省,砀山,Slnbc,0.1
江西省,东乡,hCKCS,0.1
安徽省,怀宁,pomgE,0.1
江西省,崇仁,GVeYC,0.1
湖南省,汨罗,AlxsQ,0.1
贵州省,台江,wTTZD,0.1
四川省,渠县,rTRMZ,0.1
湖南省,衡东,qhQyx,0.1
山西省,浮山,MYXsS,0.1
云南省,镇雄,YcNIl,0.1
湖南省,新化,FLnON,0.1
海南省,昌江,vHJCh,0.1
四川省,什邡,AKEUu,0.1
安徽省,当涂,MXyIw,0.1
山西省,高平,RJOci,0.1
新疆维吾尔自治区,哈巴河,vuVKP,0.1
云南省,新平,vVaif,0.1
广东省,斗门,ckONx,0.1
云南省,昌宁,oNSGZ,0.1
江西省,吉水,xtlYj,0.1
安徽省,黄山区,JsxkK,0.1
四川省,丹棱,TEect,0.1
河南省,延津,sthkk,0.1
浙江省,苍南,GvzGe,0.1
安徽省,凤台,qzDwS,0.1
浙江省,衢江,hhLOl,0.1
四川省,富顺,bmhEc,0.1
浙江省,江北,sFzyX,0.1
甘肃省,安定,KrLRa,0.1
云南省,勐海,aqlUk,0.1
贵州省,石阡,vHFrl,0.1
海南省,临高,nqaYV,0.1
贵州省,思南,MyiYN,0.1
贵州省,贵定,SzwqB,0.1
内蒙古自治区,土默特右旗,vzhvA,0.0
内蒙古自治区,小二沟,hYgyL,0.0
辽宁省,辽阳,kgqfX,0.0
辽宁省,辽阳县,UGdju,0.0
山东省,微山,KpFlL,0.0
湖南省,麻阳,BByTA,0.0
四川省,西昌,Whzpi,0.0
四川省,金堂,udKik,0.0
新疆维吾尔自治区,库尔勒,qQedw,0.0
